images,labels
images/img_16.jpg,labels/img_16.txt
images/img_17.jpg,labels/img_17.txt
images/img_18.jpg,labels/img_18.txt
images/img_19.jpg,labels/img_19.txt
images/img_2.jpg,labels/img_2.txt
images/img_20.jpg,labels/img_20.txt
images/img_21.jpg,labels/img_21.txt
images/img_22.jpg,labels/img_22.txt
images/img_23.jpg,labels/img_23.txt
images/img_24.jpg,labels/img_24.txt
images/img_25.jpg,labels/img_25.txt
images/img_26.jpg,labels/img_26.txt
images/img_27.jpg,labels/img_27.txt
images/img_28.jpg,labels/img_28.txt
images/img_29.jpg,labels/img_29.txt
images/img_3.jpg,labels/img_3.txt
images/img_30.jpg,labels/img_30.txt
images/img_31.jpg,labels/img_31.txt
images/img_32.jpg,labels/img_32.txt
images/img_33.jpg,labels/img_33.txt
images/img_34.jpg,labels/img_34.txt
images/img_35.jpg,labels/img_35.txt
images/img_36.jpg,labels/img_36.txt
images/img_37.jpg,labels/img_37.txt
images/img_38.jpg,labels/img_38.txt
images/img_39.jpg,labels/img_39.txt
images/img_4.jpg,labels/img_4.txt
images/img_40.jpg,labels/img_40.txt
images/img_41.jpg,labels/img_41.txt
images/img_42.jpg,labels/img_42.txt
images/img_43.jpg,labels/img_43.txt
images/img_44.jpg,labels/img_44.txt
images/img_45.jpg,labels/img_45.txt
images/img_46.jpg,labels/img_46.txt
images/img_47.jpg,labels/img_47.txt
images/img_48.jpg,labels/img_48.txt
images/img_49.jpg,labels/img_49.txt
images/img_5.jpg,labels/img_5.txt
images/img_50.jpg,labels/img_50.txt
images/img_51.jpg,labels/img_51.txt
images/img_52.jpg,labels/img_52.txt
images/img_53.jpg,labels/img_53.txt
images/img_54.jpg,labels/img_54.txt
images/img_55.jpg,labels/img_55.txt
images/img_56.jpg,labels/img_56.txt
images/img_57.jpg,labels/img_57.txt
images/img_58.jpg,labels/img_58.txt
images/img_59.jpg,labels/img_59.txt
images/img_6.jpg,labels/img_6.txt
images/img_60.jpg,labels/img_60.txt
images/img_61.jpg,labels/img_61.txt
images/img_62.jpg,labels/img_62.txt
images/img_63.jpg,labels/img_63.txt
images/img_64.jpg,labels/img_64.txt
images/img_65.jpg,labels/img_65.txt
images/img_66.jpg,labels/img_66.txt
images/img_67.jpg,labels/img_67.txt
images/img_68.jpg,labels/img_68.txt
images/img_69.jpg,labels/img_69.txt
images/img_7.jpg,labels/img_7.txt
images/img_70.jpg,labels/img_70.txt
images/img_71.jpg,labels/img_71.txt
images/img_72.jpg,labels/img_72.txt
images/img_73.jpg,labels/img_73.txt
images/img_74.jpg,labels/img_74.txt
images/img_75.jpg,labels/img_75.txt
images/img_76.jpg,labels/img_76.txt
images/img_77.jpg,labels/img_77.txt
images/img_78.jpg,labels/img_78.txt
images/img_79.jpg,labels/img_79.txt
images/img_8.jpg,labels/img_8.txt
images/img_80.jpg,labels/img_80.txt
images/img_81.jpg,labels/img_81.txt
images/img_82.jpg,labels/img_82.txt
images/img_83.jpg,labels/img_83.txt
images/img_84.jpg,labels/img_84.txt
images/img_85.jpg,labels/img_85.txt
images/img_86.jpg,labels/img_86.txt
images/img_87.jpg,labels/img_87.txt
images/img_88.jpg,labels/img_88.txt
images/img_89.jpg,labels/img_89.txt
images/img_9.jpg,labels/img_9.txt
images/img_90.jpg,labels/img_90.txt
images/img_91.jpg,labels/img_91.txt
images/img_92.jpg,labels/img_92.txt
images/img_93.jpg,labels/img_93.txt
images/img_94.jpg,labels/img_94.txt
images/img_95.jpg,labels/img_95.txt
images/img_96.jpg,labels/img_96.txt
images/img_97.jpg,labels/img_97.txt
images/img_98.jpg,labels/img_98.txt
images/img_99.jpg,labels/img_99.txt
